canonical_name,pybamm_key,unit,required_for_spm,required_for_spme,required_for_dfn,physical_group,role,source_class,value_or_range,uncertainty_status,temperature,source_ref,match_grade,comment
positive_brug_elec,Positive electrode Bruggeman coefficient (electrode),1,N,N,Y,electronic transport,prior,C,1.5 (default),medium (DFN solid-phase tortuosity),RT,generic Bruggeman,C,Solid-phase tortuosity exponent (DFN electronic conduction).
positive_electrode_conductivity,Positive electrode conductivity [S.m-1],S.m-1,N,N,Y,electronic transport,prior,U,UNKNOWN -> generic carbon-coated LFP composite 0.1-10 S/m,medium (only DFN solid-potential PDE),RT,generic LFP electrodes,C,Carbon-coated LFP composite electronic conductivity; DFN only.
separator_brug_elec,Separator Bruggeman coefficient (electrode),1,N,N,N,electronic transport,fixed,C,1.5 (unused; no solid in separator),n/a,RT,generic,C,Present in reference set; no electronic conductor in separator to tortuose.
active_mass_loading,(conceptual) active material mass loading,1,Y,Y,Y,geometry/loading,inferred,U,UNKNOWN (metadata blank for LFP rows),high,RT,SINTEF metadata.csv (blank),U,Commercial electrode; mass/wt%/loading columns empty in metadata.
applied_current,Current function [A],A,Y,Y,Y,geometry/loading,measured,A0,61.60e-6 (+/- 0.01%) during driven legs; rest 0,measured,RT,H1-B replay_summary current,A0,Experimental drive current (C/50 on ~3.08 mAh).
cell_footprint_size,Electrode height [m],m,Y,Y,Y,geometry/loading,derived,A1,1.240718e-02  (square-area-equivalent of the 14 mm disc),low (exact disc area known),RT,H1-B source_manifest (derived from diameter),A (derived from SINTEF A0 fact),PyBaMM uses width x height; both set to sqrt(A) so footprint == disc area (Birmingham H0 convention).
cell_footprint_size,Electrode width [m],m,Y,Y,Y,geometry/loading,derived,A1,1.240718e-02,low,RT,H1-B source_manifest,A (derived),see Electrode height.
lithium_counter_thickness,Negative electrode thickness [m],m,Y,Y,Y,geometry/loading,prior,C,UNKNOWN (excess Li foil; not disclosed),high (excess lithium -> insensitive),RT,not disclosed in record,C,Li-metal counter foil. Oversized vs working electrode; expected insensitive.
lower_cutoff,Lower voltage cut-off [V],V,Y,Y,Y,geometry/loading,measured,A0,2.50,measured (legs reach 2.49999 V),RT,H1-B replay_summary voltage_window,A0,Discharge cut-off actually reached by cycler.
nominal_capacity,Nominal cell capacity [A.h],A.h,Y,Y,Y,geometry/loading,derived,A1,3.07876e-3 (metadata label; measured full-window mean 3.2878e-3),label vs measured mismatch quantified in capacity_closure.csv,RT,SINTEF metadata.csv + H1-B capacity integration,A0/A1,Used only as a C-rate reference if C-rate current is ever required; replay uses the measured current.
parallel_electrodes,Number of electrodes connected in parallel to make a cell,1,Y,Y,Y,geometry/loading,design,C,1,n/a,RT,definition,C,Single-side coated disc.
positive_active_volume_fraction,Positive electrode active material volume fraction,1,Y,Y,Y,geometry/loading,prior,U,UNKNOWN (eps_s) -> priors 0.40-0.70 (generic commercial LFP),"high (capacity closure, see capacity_closure.csv)",RT,generic commercial LFP electrodes,C,Solid active fraction; enters Q_geom = F A L eps_s c_smax dx.
positive_electrode_porosity,Positive electrode porosity,1,N,Y,Y,geometry/loading,prior,U,"UNKNOWN -> priors: 0.254 (acfc66), 0.45 (ae94f3)",high (capacity + electrolyte volume),RT,acfc66 Table 1 / ae94f3 Table I,B2,Electrolyte volume fraction in the composite electrode.
positive_electrode_thickness,Positive electrode thickness [m],m,Y,Y,Y,geometry/loading,measured,A0,78e-6,measured (metadata 'Dry Thickness / um' = 78),RT,SINTEF meta/metadata.csv row d07eb6,A0,Dry coating thickness of the commercial LFP-NMP-1 electrode.
separator_thickness,Separator thickness [m],m,N,Y,Y,geometry/loading,prior,U,"UNKNOWN -> priors 20e-6 (acfc66), 25e-6 (Celgard 2325)",high,RT,acfc66 / ae94f3 electrode set-ups,B2,SINTEF record does not disclose separator (coin R2032).
series_cells,Number of cells connected in series to make a battery,1,Y,Y,Y,geometry/loading,design,C,1,n/a,RT,definition,C,Single coin cell.
upper_cutoff,Upper voltage cut-off [V],V,Y,Y,Y,geometry/loading,measured,A0,3.65,measured (legs reach 3.65000 V),RT,H1-B replay_summary voltage_window,A0,Charge cut-off actually reached by cycler.
initial_positive_concentration,Initial concentration in positive electrode [mol.m-3],mol.m-3,Y,Y,Y,initialization,inferred,U,UNKNOWN (H1-D: inverse-OCP(measured V0) on the chosen OCP branch),high (initial state; not inverted in H1-B/H1-C),RT,see replay_summary initial_states (measured V0 only),U,x0/c_s0 belong to the parameterisation layer (H1-D). Measured V0 facts listed in experimental_facts.json.
initial_stoichiometry_x0,(conceptual) initial stoichiometry x0,1,Y,Y,Y,initialization,inferred,U,UNKNOWN (from measured V0 via chosen OCP),high,RT,replay_summary initial_states (V0),U,Not a SINTEF fact; belongs to H1-D parameterisation.
stoichiometry_window_dx,(conceptual) stoichiometry window dx,1,Y,Y,Y,initialization,inferred,U,UNKNOWN (depends on chosen OCP + voltage endpoints),high (capacity closure),RT,see ocp_source_audit.json,U,dx = x(V_low)-x(V_high) implied by the chosen OCP; not measured.
li_counter_double_layer_capacity,Negative electrode double-layer capacity [F.m-2],F.m-2,Y,Y,Y,kinetics,prior,C,generic,low,RT,generic,C,As above for the Li counter.
li_counter_exchange_current,Exchange-current density for lithium metal electrode [A.m-2],A.m-2,Y,Y,Y,kinetics,fixed,C,large (fast Li plating/stripping; value not limiting),low,RT,generic Li metal,C,Li counter kinetics; excess Li => insensitive.
positive_activation_energy,Positive electrode reaction activation energy [J.mol-1],J.mol-1,Y,Y,Y,kinetics,fixed,C,0 (isothermal at RT; Arrhenius factor =1 at Reference temperature),low,RT,generic,C,Reference temperature fixed at 298.15 K; Ea=0 keeps kinetics at the chosen reference.
positive_alpha,Positive electrode charge transfer coefficient,1,Y,Y,Y,kinetics,fixed,C,0.5,low (standard symmetric BV),RT,generic Butler-Volmer,C,Symmetric transfer coefficient assumption.
positive_double_layer_capacity,Positive electrode double-layer capacity [F.m-2],F.m-2,Y,Y,Y,kinetics,prior,C,generic (only relevant under surface-form options),low-medium (consumption to confirm in H1-D wiring),RT,generic,C,Present in the reference half-cell set (differential surface form).
positive_exchange_current,Positive electrode exchange-current density [A.m-2],A.m-2,Y,Y,Y,kinetics,prior,U,UNKNOWN -> j0 50 A/m2 assumed in ae94f3; acfc66 k0-form alternative,high (kinetics),298.15 K,ae94f3 Table I (assumed); acfc66 Table 1 (calibrated k0),B2,Interfacial kinetics of LFP-NMP-1 not measured by SINTEF. i0-form (pybamm default) or k0-form are alternatives.
positive_reaction_rate,Positive electrode reaction rate [A.m-2.(m3.mol-1)^1.5],A.m-2.(m3.mol-1)^1.5,Y,Y,Y,kinetics,prior,U,UNKNOWN (k0-form; acfc66 k0=0.12e-11 in m^2.5 mol^-0.5 s^-1 requires unit conversion),high,298 K,acfc66 Table 1 (fitted/calibrated),B2,Alternative kinetic parameterisation; only one kinetics form is consumed per pybamm option.
lithium_counter_ocp,Negative electrode OCP [V],V,Y,Y,Y,solid thermo/OCP,fixed,C,0 (Li/Li+ reference potential),low,RT,definition,C,Li-metal counter sets the 0 V reference.
lithium_counter_ocp_entropic,Negative electrode OCP entropic change [V.K-1],V.K-1,T,T,T,solid thermo/OCP,fixed,C,0,n/a,RT,generic,C,Thermal-only.
ocp_hysteresis_definition,(conceptual) OCP hysteresis / equilibrium definition,1,Y,Y,Y,solid thermo/OCP,inferred,A1,two measured branches available; equilibrium treatment open,"high (structural, see ocp_source_audit.json)",RT,H1-B processed p-OCV,A1,"Charge/discharge branches differ; single-equilibrium OCP is a model-structure hypothesis to test in H1-D, not a parameter error."
ocv_at_0pct_soc,Open-circuit voltage at 0% SOC [V],V,N,N,N,solid thermo/OCP,fixed,C,UNKNOWN (SOC-based initialisation not used here),n/a,RT,generic,C,SOC-based init path not used for replay (measured V0 + inverse OCP path in H1-D).
ocv_at_100pct_soc,Open-circuit voltage at 100% SOC [V],V,N,N,N,solid thermo/OCP,fixed,C,UNKNOWN,n/a,RT,generic,C,As above.
positive_ocp,Positive electrode OCP [V],V,Y,Y,Y,solid thermo/OCP,derived,A1,"own p-OCV charge & discharge branches (C/50), see ocp_source_audit.json",medium (hysteresis: single equilibrium curve not directly measured),RT (no numeric value reported),H1-B processed p-OCV (d07eb6),A1,Two measured full-window branches available; equilibrium/hysteresis treatment is an H1-D model choice.
positive_ocp_entropic,Positive electrode OCP entropic change [V.K-1],V.K-1,T,T,T,solid thermo/OCP,fixed,C,0 (isothermal; RT range),n/a under isothermal config,RT,generic / pybamm default,C,Only consumed if a thermal submodel is activated.
positive_c_smax,Maximum concentration in positive electrode [mol.m-3],mol.m-3,Y,Y,Y,solid transport,prior,B2,22820 (ae94f3 & theoretical) ; 21852 (acfc66),medium-low (theoretical value robust),298.15 K,ae94f3 Table I (estimated); acfc66 Table 1,B2,"c_smax ~ theoretical 22.8e3 mol/m3 for LFP (3.60 g/cc, 157.76 g/mol)."
positive_ds_scaling,Positive electrode diffusivity scaling factor,1,Y,Y,Y,solid transport,fixed,A1,1.0,n/a (definition),RT,H0 mapping (PyBaMM alias auto-materialisation),A1,Platform keeps =1.0 unless a per-rate D-scaling study is explicitly approved (Birmingham lesson: scaling != material constant).
positive_particle_diffusivity,Positive particle diffusivity [m2.s-1],m2.s-1,Y,Y,Y,solid transport,prior,U,UNKNOWN -> 3.7e-16 (acfc66 const); ae94f3 SOC-dependent GITT range,high (but LOW sensitivity at C/50 near-equilibrium replay),RT / 298.15 K,acfc66 Table 1; ae94f3 GITT Fig.4,B2,GITT of the SINTEF cell itself not downloaded (deferred; see gate summary).
positive_particle_radius,Positive particle radius [m],m,Y,Y,Y,solid transport,prior,U,"UNKNOWN -> 1e-6 (acfc66, FESEM); ae94f3 PSD (surface-area-weighted, no single number in text)",high (surface area / kinetics timescale),RT,acfc66 Table 1/Sec.2; ae94f3 PSD,B2,Commercial LFP-NMP-1 particle size not disclosed.
ambient_temperature,Ambient temperature [K],K,T,T,T,thermal/constants,fixed,C,298.15 (assumed RT; record gives no numeric),n/a under isothermal,RT (no numeric),record says 'room temperature',A0 (qualitative),Only consumed under a thermal submodel.
electrolyte_density,Electrolyte density [kg.m-3],kg.m-3,N,N,N,thermal/constants,prior,C,generic carbonate (~1200),n/a,RT,generic,C,Thermal model only.
initial_temperature,Initial temperature [K],K,T,T,T,thermal/constants,fixed,C,298.15,n/a under isothermal,RT,assumed,C,Only consumed under a thermal submodel.
li_partial_molar_volume,Lithium metal partial molar volume [m3.mol-1],m3.mol-1,Y,Y,Y,thermal/constants,fixed,C,generic (Li-metal electrode model constant),low,RT,generic Li metal,C,Present in reference half-cell set; consumption to be confirmed in H1-D wiring.
positive_active_density,Positive electrode active material density [kg.m-3],kg.m-3,N,N,N,thermal/constants,prior,C,3600 (LiFePO4 crystallographic density),low,RT,crystallographic / generic LFP,C,Only needed for mass-based conversions or thermal model (not consumed isothermally).
positive_carbon_binder_density,Positive electrode carbon-binder density [kg.m-3],kg.m-3,N,N,N,thermal/constants,prior,C,"generic (PVDF/carbon composite, ~1500-1900)",medium,RT,generic,C,Not consumed in isothermal electrochemical solve.
reference_temperature,Reference temperature [K],K,Y,Y,Y,thermal/constants,fixed,C,298.15,n/a (Arrhenius reference),RT,generic,C,Arrhenius reference temperature (activation energies referenced to it).
